provider,method,seed,best_threshold_by_val_recall,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
gpt,zero,1867825,63,0.475,0.16,1.0,0.2758620689655173,0.5,0.13636363636363635,0.75,0.23076923076923075
gpt,zero,419610,64,0.6,0.2,1.0,0.33333333333333337,0.35,0.13333333333333333,1.0,0.23529411764705882
gpt,zero,4614226,56,0.65,0.2222222222222222,1.0,0.3636363636363636,0.475,0.16,1.0,0.2758620689655173
gpt,zero,4108603,56,0.6,0.2,1.0,0.33333333333333337,0.45,0.15384615384615385,1.0,0.2666666666666667
gpt,zero,3744854,53,0.15,0.10526315789473684,1.0,0.1904761904761905,0.125,0.10256410256410256,1.0,0.18604651162790695
gpt,zero,2341057,63,0.675,0.23529411764705882,1.0,0.38095238095238093,0.4,0.14285714285714285,1.0,0.25
gpt,zero,1719583,65,0.625,0.21052631578947367,1.0,0.34782608695652173,0.525,0.10526315789473684,0.5,0.17391304347826086
gpt,zero,9149732,63,0.6,0.2,1.0,0.33333333333333337,0.35,0.13333333333333333,1.0,0.23529411764705882
gpt,zero,1458591,64,0.55,0.18181818181818182,1.0,0.3076923076923077,0.45,0.125,0.75,0.21428571428571427
gpt,zero,9906820,56,0.525,0.17391304347826086,1.0,0.29629629629629634,0.3,0.125,1.0,0.2222222222222222
