provider,method,seed,val_recall_target,best_threshold_by_val_recall,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
gpt,zero,1867825,,31,0.2564102564102564,0.17142857142857143,1.0,0.2926829268292683,0.625,0.5806451612903226,0.9,0.7058823529411764
gpt,zero,419610,,43,0.7435897435897436,0.3,0.5,0.37499999999999994,0.575,0.6,0.45,0.5142857142857143
gpt,zero,4614226,,42,0.8461538461538461,0.5,0.5,0.5,0.5,0.5,0.4,0.4444444444444445
gpt,zero,4108603,,26,0.20512820512820512,0.16216216216216217,1.0,0.27906976744186046,0.475,0.48717948717948717,0.95,0.6440677966101694
gpt,zero,3744854,,51,0.8205128205128205,0.4,0.3333333333333333,0.3636363636363636,0.55,0.625,0.25,0.35714285714285715
gpt,zero,2341057,,41,0.5641025641025641,0.21052631578947367,0.6666666666666666,0.32,0.575,0.56,0.7,0.6222222222222222
gpt,zero,1719583,,42,0.6666666666666666,0.26666666666666666,0.6666666666666666,0.3809523809523809,0.675,0.7692307692307693,0.5,0.6060606060606061
gpt,zero,9149732,,43,0.7692307692307693,0.36363636363636365,0.6666666666666666,0.4705882352941177,0.525,0.5384615384615384,0.35,0.4242424242424242
gpt,zero,1458591,,43,0.7435897435897436,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.675,0.8888888888888888,0.4,0.5517241379310346
gpt,zero,9906820,,0,0.15384615384615385,0.15384615384615385,1.0,0.2666666666666667,0.5,0.5,1.0,0.6666666666666666
gpt,few,1867825,,23,0.1794871794871795,0.15789473684210525,1.0,0.2727272727272727,0.45,0.47368421052631576,0.9,0.6206896551724138
gpt,few,419610,,39,0.7435897435897436,0.3,0.5,0.37499999999999994,0.55,0.5714285714285714,0.4,0.47058823529411764
gpt,few,4614226,,45,0.7692307692307693,0.3333333333333333,0.5,0.4,0.525,0.5555555555555556,0.25,0.3448275862068966
gpt,few,4108603,,43,0.8205128205128205,0.42857142857142855,0.5,0.4615384615384615,0.55,0.625,0.25,0.35714285714285715
gpt,few,3744854,,45,0.6666666666666666,0.23076923076923078,0.5,0.3157894736842105,0.55,0.5833333333333334,0.35,0.4375
gpt,few,2341057,,57,0.8974358974358975,0.75,0.5,0.6,0.5,0.5,0.1,0.16666666666666669
gpt,few,1719583,,36,0.5641025641025641,0.21052631578947367,0.6666666666666666,0.32,0.475,0.46153846153846156,0.3,0.3636363636363637
gpt,few,9149732,,39,0.7948717948717948,0.375,0.5,0.42857142857142855,0.55,0.6,0.3,0.4
gpt,few,1458591,,51,0.8461538461538461,0.5,0.3333333333333333,0.4,0.625,0.7272727272727273,0.4,0.5161290322580645
gpt,few,9906820,,23,0.2564102564102564,0.17142857142857143,1.0,0.2926829268292683,0.55,0.5294117647058824,0.9,0.6666666666666667
gpt,cot,1867825,,0,0.15384615384615385,0.15384615384615385,1.0,0.2666666666666667,0.5,0.5,1.0,0.6666666666666666
gpt,cot,419610,,22,0.1794871794871795,0.15789473684210525,1.0,0.2727272727272727,0.525,0.5135135135135135,0.95,0.6666666666666667
gpt,cot,4614226,,57,0.8974358974358975,1.0,0.3333333333333333,0.5,0.425,0.2,0.05,0.08000000000000002
gpt,cot,4108603,,44,0.7948717948717948,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.575,0.6153846153846154,0.4,0.4848484848484849
gpt,cot,3744854,,42,0.7435897435897436,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.525,0.5263157894736842,0.5,0.5128205128205129
gpt,cot,2341057,,37,0.48717948717948717,0.20833333333333334,0.8333333333333334,0.33333333333333337,0.525,0.5172413793103449,0.75,0.6122448979591838
gpt,cot,1719583,,42,0.6923076923076923,0.2857142857142857,0.6666666666666666,0.4,0.5,0.5,0.3,0.37499999999999994
gpt,cot,9149732,,26,0.1794871794871795,0.15789473684210525,1.0,0.2727272727272727,0.525,0.5128205128205128,1.0,0.6779661016949152
gpt,cot,1458591,,41,0.5128205128205128,0.24,1.0,0.3870967741935484,0.625,0.6190476190476191,0.65,0.6341463414634146
gpt,cot,9906820,,42,0.6666666666666666,0.26666666666666666,0.6666666666666666,0.3809523809523809,0.625,0.6923076923076923,0.45,0.5454545454545455
